name_korean,name_english,aroma
"타이투스 빈야드, 카베르네 소비뇽","Titus Vineyards, Cabernet Sauvignon",석류
"토마스 쿠지네, 예브레","Tomas Cusine, Llebre",체리
"토마시, 아마로네 델라 발폴리첼라 클라시코","Tommasi, Amarone della Valpolicella Classico",자두
"토마시, 아마로네 델라 발폴리첼라 클라시코","Tommasi, Amarone della Valpolicella Classico",체리
"트라피체, 이스까이 말벡 까베르네 프랑","Trapiche, Iscay Malbec Cabernet Franc",꽃
"트라피체, 이스까이 말벡 까베르네 프랑","Trapiche, Iscay Malbec Cabernet Franc",오크
트리가,Triga,체리
트리가,Triga,꽃
"바글리오, 차크라 말벡","Vaglio, Chacra Malbec",블랙베리
"바글리오, 차크라 말벡","Vaglio, Chacra Malbec",배
"바글리오, 차크라 말벡","Vaglio, Chacra Malbec",먼지
"바글리오, 차크라 말벡","Vaglio, Chacra Malbec",감초
"바글리오, 차크라 말벡","Vaglio, Chacra Malbec",오크
"바글리오, 미페럴 말벡","Vaglio, MiPeral Malbec",미네랄
"발레이븐, 카베르네 소비뇽","Valravn, Cabernet Sauvignon Sonoma County",리치
"발레이븐, 카베르네 소비뇽","Valravn, Cabernet Sauvignon Sonoma County",정향
"발레이븐, 카베르네 소비뇽","Valravn, Cabernet Sauvignon Sonoma County",흑연
"발레이븐, 피노 누아","Valravn, Pinot Noir",리치
"빌라 알 코르틸레, 부르넬로 디 몬탈치노","Villa Al Cortile, Brunello di Montalcino",체리
"빌라 알 코르틸레, 부르넬로 디 몬탈치노 리제르바","Villa Al Cortile, Brunello di Montalcino Riserva",가죽
"빌라 알 코르틸레, 부르넬로 디 몬탈치노 리제르바","Villa Al Cortile, Brunello di Montalcino Riserva",배
"비냐 시겔, 지겔 싱글빈야드","Vina Siegel, SIegel Single Vineyard",블랙커런트
"비냐 시겔, 지겔 싱글빈야드","Vina Siegel, SIegel Single Vineyard",감초
"비냐 시겔, 지겔 싱글빈야드","Vina Siegel, SIegel Single Vineyard",육두구
"비냐 시겔, 지겔 싱글빈야드","Vina Siegel, SIegel Single Vineyard",블랙체리
"비냐 시겔, 지겔 싱글빈야드","Vina Siegel, SIegel Single Vineyard",삼나무
"비노 델 솔, 타사하라 피노 누아","Vino del Sol, Tassajara Pinot Noir",바닐라
"비노 델 솔, 타사하라 피노 누아","Vino del Sol, Tassajara Pinot Noir",자두
"폴렌바이더, 볼퍼 골드그루베 리슬링 슈페트레제","Vollenweider, Wolfer Goldgrube Riesling Spatlese",미네랄
"볼레로, 뀌베 마가렛","Vollereaux, Cuvee Marguerite",바닐라
"볼레로, 리저브 브뤼","Vollereaux, Reserve Brut",청사과
"볼레로, 리저브 브뤼","Vollereaux, Reserve Brut",효모
"볼레로, 리저브 브뤼","Vollereaux, Reserve Brut",레몬껍질
"볼레로, 로제 브뤼","Vollereaux, Rose Brut",꽃
발트라우드,Waltraud,꿀
발트라우드,Waltraud,레몬
"얄룸바, 에덴 밸리 비오니에","Yalumba, Eden Valley Viognier",미네랄
"얄룸바, 에덴 밸리 비오니에","Yalumba, Eden Valley Viognier",살구
"얄룸바, 에덴 밸리 비오니에","Yalumba, Eden Valley Viognier",아몬드
"얄룸바, 멘지스 카버네 소비뇽","Yalumba, Menzies Cabernet Sauvignon",모카
"얄룸바, 멘지스 카버네 소비뇽","Yalumba, Menzies Cabernet Sauvignon",감초
"얄룸바, 옥타비우스 올드 바인 쉬라즈","Yalumba, Octavius Old Vine Shiraz",체리
"얄룸바, 시그너쳐 카버네 쉬라즈","Yalumba, Signature Cabernet Shiraz",크랜베리
"얄룸바, 시그너쳐 카버네 쉬라즈","Yalumba, Signature Cabernet Shiraz",허브
"얄룸바, 시그너쳐 카버네 쉬라즈","Yalumba, Signature Cabernet Shiraz",꽃
"제트 알렉산더 브라운, 언케이지드 까베르네 쇼비뇽","Z. Alexander Brown, Uncaged Cabernet Sauvignon",체리
"제트 알렉산더 브라운, 언케이지드 레드 블랜드","Z. Alexander Brown, Uncaged Proprietary Red Blend",오크
"진트 훔브레이트, 진트","Zind Humbrecht, Zind",감귤
